:ID,:LABEL,title,identifier
col-8b36342b-1b5e-4f1a-9284-abc305aea05c,Collection,BSCSIA Additional Skills,8b36342b-1b5e-4f1a-9284-abc305aea05c
col-8c7da71c-ba6a-45f9-8a16-f3626e978377,Collection,Dental Assistants_Mar.2023,8c7da71c-ba6a-45f9-8a16-f3626e978377
col-8cd25a25-5388-42b0-8e47-e7fc0c1a1a32,Collection,Executive Secretaries and Executive Administrative Assistants,8cd25a25-5388-42b0-8e47-e7fc0c1a1a32
col-8ec254ff-0729-47de-a05a-667ec748fd04,Collection,Security Engineer_MAY.2023,8ec254ff-0729-47de-a05a-667ec748fd04
col-8ed5bcb5-89e1-4eb1-aa09-5ada169b6706,Collection,Market Research Analysts and Marketing Specialists_Dec.2022,8ed5bcb5-89e1-4eb1-aa09-5ada169b6706
col-8f4bb4e1-46a9-4fd5-9714-aa5f0fcbc0fa,Collection,Social Emotional Learning (SEL): Interpersonal Communication_June.2023,8f4bb4e1-46a9-4fd5-9714-aa5f0fcbc0fa
col-908a3821-5cbb-4c2e-8c6e-f340e745cc03,Collection,Leadership in Technology Jun_ 2023,908a3821-5cbb-4c2e-8c6e-f340e745cc03
col-917f22d8-0fc2-4c25-8e0e-e56522466d75,Collection,Logisticians_APRIL.2023,917f22d8-0fc2-4c25-8e0e-e56522466d75
col-91861083-382e-43cd-ab29-8aa525c3fa14,Collection,Rehabilitation Counselors_JUNE.2023,91861083-382e-43cd-ab29-8aa525c3fa14
col-91d640a6-c691-49d8-a2e7-9c71b34246bb,Collection,My collection -test,91d640a6-c691-49d8-a2e7-9c71b34246bb
col-91ef89c0-dea4-44f2-8f86-fa40a2dd092b,Collection,Registered Nurses_Jan.2023,91ef89c0-dea4-44f2-8f86-fa40a2dd092b
col-920031d9-53ae-4d41-8140-683dc64fa84a,Collection,Caregiver_July.2023,920031d9-53ae-4d41-8140-683dc64fa84a
col-9234a603-4375-4cab-97d2-aa483f6312cd,Collection,WGU Learner Communication Management,9234a603-4375-4cab-97d2-aa483f6312cd
col-923f34ed-954e-4c9a-8804-7cbdc31c991b,Collection,Senior Skills Strategy Consultant,923f34ed-954e-4c9a-8804-7cbdc31c991b
col-92e554be-7518-4e2a-ae84-8f41d9f130b3,Collection,Chief Executives_Dec.2022,92e554be-7518-4e2a-ae84-8f41d9f130b3
col-933d6fb0-4941-48d7-af95-7cbe2bea7db0,Collection,Construction Managers_MAR.2023,933d6fb0-4941-48d7-af95-7cbe2bea7db0
col-950a0ba5-a70f-431d-a13a-ecefbb5d6bb7,Collection,Medical Assistants_APR.2023,950a0ba5-a70f-431d-a13a-ecefbb5d6bb7
col-9647aa7d-0cfb-4276-81e0-1fe355c56fc7,Collection,Sleep Medicine RSDs- Draft,9647aa7d-0cfb-4276-81e0-1fe355c56fc7
col-96e2e0db-5172-48d5-a630-0957b41721df,Collection,Project Management Specialists_Jan.2024,96e2e0db-5172-48d5-a630-0957b41721df
col-99af93e4-9fa5-483c-8075-777a976da92c,Collection,Consulting,99af93e4-9fa5-483c-8075-777a976da92c
col-9b61a90c-6584-486a-b77a-3ecebd3bc072,Collection,English Language Learning_Dec.2023,9b61a90c-6584-486a-b77a-3ecebd3bc072
col-9be00dcc-d812-42e0-9662-aa5336cf970c,Collection,Social Emotional Learning (SEL): Executive Function & Responsible Decision Making_June.2023,9be00dcc-d812-42e0-9662-aa5336cf970c
col-9c7c5db4-ef5f-4e1d-9363-b67399459d8b,Collection,Sales Managers_Jan.2023,9c7c5db4-ef5f-4e1d-9363-b67399459d8b
col-9cfde8b6-f8c8-471a-a66c-9aabe554fc01,Collection,Business Operations Specialists_Jan.2023,9cfde8b6-f8c8-471a-a66c-9aabe554fc01
col-9def40ce-3603-4fd2-9400-e797c3ed7994,Collection,Database Administrators and Architects_JAN.2023,9def40ce-3603-4fd2-9400-e797c3ed7994
col-9eeb3b50-e4a8-4046-9296-2b4c352fd434,Collection,Social Enterprise: Career Coach_May.2023,9eeb3b50-e4a8-4046-9296-2b4c352fd434
col-9fd61243-96f0-4319-a56d-e638503e4777,Collection,Social Emotional Learning (SEL): Self-Awareness_June.2023,9fd61243-96f0-4319-a56d-e638503e4777
col-a039d109-d2d7-444f-98a3-8f428a3a3b2a,Collection,Entertainment and Recreation Managers_May.2023,a039d109-d2d7-444f-98a3-8f428a3a3b2a
col-a095ec4a-68d7-4294-8f48-e6c2c4d49e90,Collection,Industrial Production Managers_FEB.2023,a095ec4a-68d7-4294-8f48-e6c2c4d49e90
col-a0b1b4ee-356a-4ffd-8fae-6ab343bab3ef,Collection,MPH Product Collection,a0b1b4ee-356a-4ffd-8fae-6ab343bab3ef
col-a2307c58-b890-48b7-8ae2-0bd22a41ccc4,Collection,Online Communication_MAR.2023,a2307c58-b890-48b7-8ae2-0bd22a41ccc4
col-a2bbc89e-6312-4869-94ba-e7af80b42b6c,Collection,Computer User Support Specialists_Mar.2023,a2bbc89e-6312-4869-94ba-e7af80b42b6c
col-a3669605-3770-48f6-b60f-e3919010c2fc,Collection,Character: Career Readiness_July.2023,a3669605-3770-48f6-b60f-e3919010c2fc
col-a38a9f84-578c-4a01-83af-d4f62845ebbe,Collection,K12 Competency-Based Education_Nov.2023,a38a9f84-578c-4a01-83af-d4f62845ebbe
col-a413d731-0477-4982-b05a-3c93447efb89,Collection,Network and Computer Systems Administrators_Dec.2022,a413d731-0477-4982-b05a-3c93447efb89
col-a59258d2-3157-4c32-a59c-f895294d9c08,Collection,Executive Function Teaching Practices_Jan.2024,a59258d2-3157-4c32-a59c-f895294d9c08
col-a5aa189e-ba42-405e-9ba3-83e177c39c91,Collection,Web Developers and Digital Interface Designers_APR.2023,a5aa189e-ba42-405e-9ba3-83e177c39c91
